DEBUG:root:Started application on port 8080
INFO:tornado.access:200 POST /get_winner_companies (::1) 542.77ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 663.78ms
INFO:tornado.access:200 POST /get_current_periods (::1) 23.40ms
INFO:tornado.access:200 POST /get_instituicao (::1) 51.06ms
INFO:tornado.access:200 POST /get_instituicao (::1) 42.23ms
INFO:tornado.access:304 GET /get_suspected_materials (::1) 36.15ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 719.89ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 853.16ms
INFO:tornado.access:200 POST /get_current_periods (::1) 7.21ms
INFO:tornado.access:200 POST /get_instituicao (::1) 31.05ms
INFO:tornado.access:304 GET /get_suspected_materials (::1) 29.73ms
INFO:tornado.access:200 POST /get_instituicao (::1) 26.31ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 403.13ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 809.93ms
INFO:tornado.access:200 POST /get_current_periods (::1) 8.07ms
INFO:tornado.access:200 POST /get_instituicao (::1) 7.95ms
INFO:tornado.access:304 GET /get_suspected_materials (::1) 35.53ms
INFO:tornado.access:200 POST /get_instituicao (::1) 31.59ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 349.48ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 787.12ms
INFO:tornado.access:200 POST /get_current_periods (::1) 8.93ms
INFO:tornado.access:200 POST /get_instituicao (::1) 17.88ms
INFO:tornado.access:200 POST /get_instituicao (::1) 32.08ms
INFO:tornado.access:304 GET /get_suspected_materials (::1) 40.02ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 706.32ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 1019.36ms
INFO:tornado.access:200 POST /get_current_periods (::1) 8.13ms
INFO:tornado.access:200 POST /get_instituicao (::1) 13.27ms
INFO:tornado.access:304 GET /get_suspected_materials (::1) 5.61ms
INFO:tornado.access:200 POST /get_instituicao (::1) 36.11ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 358.33ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 876.59ms
INFO:tornado.access:200 POST /get_current_periods (::1) 12.54ms
INFO:tornado.access:200 POST /get_instituicao (::1) 30.29ms
INFO:tornado.access:304 GET /get_suspected_materials (::1) 29.99ms
INFO:tornado.access:200 POST /get_instituicao (::1) 42.76ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 362.65ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 1012.09ms
INFO:tornado.access:200 POST /get_current_periods (::1) 9.07ms
INFO:tornado.access:200 POST /get_instituicao (::1) 50.96ms
INFO:tornado.access:200 POST /get_instituicao (::1) 38.85ms
INFO:tornado.access:304 GET /get_suspected_materials (::1) 22.42ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 365.31ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 476.72ms
INFO:tornado.access:204 OPTIONS /get_current_periods (::1) 1.07ms
INFO:tornado.access:204 OPTIONS /get_instituicao (::1) 1.00ms
INFO:tornado.access:204 OPTIONS /get_winner_companies (::1) 1.14ms
INFO:tornado.access:204 OPTIONS /get_instituicao (::1) 4.90ms
INFO:tornado.access:204 OPTIONS /get_winner_companies (::1) 1.02ms
INFO:tornado.access:304 GET /get_suspected_materials (::1) 21.84ms
INFO:tornado.access:200 POST /get_current_periods (::1) 11.35ms
INFO:tornado.access:200 POST /get_instituicao (::1) 47.57ms
INFO:tornado.access:200 POST /get_instituicao (::1) 35.51ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 727.67ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 945.47ms
INFO:tornado.access:200 POST /get_current_periods (::1) 8.51ms
INFO:tornado.access:200 POST /get_instituicao (::1) 78.31ms
INFO:tornado.access:304 GET /get_suspected_materials (::1) 78.77ms
INFO:tornado.access:200 POST /get_instituicao (::1) 81.52ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 796.05ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 947.95ms
INFO:tornado.access:200 POST /get_current_periods (::1) 42.93ms
INFO:tornado.access:200 POST /get_instituicao (::1) 72.22ms
INFO:tornado.access:304 GET /get_suspected_materials (::1) 57.24ms
INFO:tornado.access:200 POST /get_instituicao (::1) 49.46ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 693.59ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 988.35ms
INFO:tornado.access:200 POST /get_current_periods (::1) 7.88ms
INFO:tornado.access:200 POST /get_instituicao (::1) 16.87ms
INFO:tornado.access:304 GET /get_suspected_materials (::1) 36.51ms
INFO:tornado.access:200 POST /get_instituicao (::1) 30.57ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 648.52ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 912.56ms
INFO:tornado.access:200 POST /get_current_periods (::1) 18.27ms
INFO:tornado.access:200 POST /get_instituicao (::1) 36.36ms
INFO:tornado.access:304 GET /get_suspected_materials (::1) 33.50ms
INFO:tornado.access:200 POST /get_instituicao (::1) 23.90ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 601.51ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 919.99ms
INFO:tornado.access:200 POST /get_current_periods (::1) 18.12ms
INFO:tornado.access:200 POST /get_instituicao (::1) 25.41ms
INFO:tornado.access:200 POST /get_instituicao (::1) 50.56ms
INFO:tornado.access:304 GET /get_suspected_materials (::1) 51.36ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 608.87ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 942.39ms
INFO:tornado.access:200 POST /get_current_periods (::1) 32.57ms
INFO:tornado.access:200 POST /get_instituicao (::1) 59.88ms
INFO:tornado.access:200 POST /get_instituicao (::1) 64.17ms
INFO:tornado.access:304 GET /get_suspected_materials (::1) 46.21ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 930.74ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 1130.77ms
INFO:tornado.access:200 POST /get_current_periods (::1) 31.56ms
INFO:tornado.access:200 POST /get_instituicao (::1) 49.39ms
INFO:tornado.access:304 GET /get_suspected_materials (::1) 42.63ms
INFO:tornado.access:200 POST /get_instituicao (::1) 34.86ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 809.99ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 1078.86ms
INFO:tornado.access:200 POST /get_current_periods (::1) 7.88ms
INFO:tornado.access:200 POST /get_instituicao (::1) 39.23ms
INFO:tornado.access:304 GET /get_suspected_materials (::1) 24.91ms
INFO:tornado.access:200 POST /get_instituicao (::1) 26.34ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 299.10ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 881.14ms
INFO:tornado.access:200 POST /get_current_periods (::1) 15.00ms
INFO:tornado.access:200 POST /get_instituicao (::1) 37.66ms
INFO:tornado.access:200 POST /get_instituicao (::1) 37.84ms
INFO:tornado.access:304 GET /get_suspected_materials (::1) 34.02ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 742.57ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 953.34ms
INFO:tornado.access:200 POST /get_current_periods (::1) 16.26ms
INFO:tornado.access:200 POST /get_instituicao (::1) 66.91ms
INFO:tornado.access:304 GET /get_suspected_materials (::1) 63.10ms
INFO:tornado.access:200 POST /get_instituicao (::1) 73.09ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 781.87ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 1077.49ms
INFO:tornado.access:200 POST /get_current_periods (::1) 18.74ms
INFO:tornado.access:200 POST /get_instituicao (::1) 41.49ms
INFO:tornado.access:304 GET /get_suspected_materials (::1) 34.25ms
INFO:tornado.access:200 POST /get_instituicao (::1) 36.77ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 412.05ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 1000.50ms
INFO:tornado.access:204 OPTIONS /get_current_periods (::1) 1.43ms
INFO:tornado.access:204 OPTIONS /get_instituicao (::1) 0.96ms
INFO:tornado.access:204 OPTIONS /get_winner_companies (::1) 3.21ms
INFO:tornado.access:204 OPTIONS /get_instituicao (::1) 13.70ms
INFO:tornado.access:204 OPTIONS /get_winner_companies (::1) 2.38ms
INFO:tornado.access:304 GET /get_suspected_materials (::1) 30.33ms
INFO:tornado.access:200 POST /get_current_periods (::1) 10.72ms
INFO:tornado.access:200 POST /get_instituicao (::1) 36.64ms
INFO:tornado.access:200 POST /get_instituicao (::1) 36.45ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 314.03ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 871.15ms
INFO:tornado.access:200 POST /get_current_periods (::1) 20.99ms
INFO:tornado.access:200 POST /get_instituicao (::1) 46.14ms
INFO:tornado.access:304 GET /get_suspected_materials (::1) 60.24ms
INFO:tornado.access:200 POST /get_instituicao (::1) 59.93ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 772.54ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 819.87ms
INFO:tornado.access:200 POST /get_current_periods (::1) 19.58ms
INFO:tornado.access:200 POST /get_instituicao (::1) 48.79ms
INFO:tornado.access:200 POST /get_instituicao (::1) 49.89ms
INFO:tornado.access:304 GET /get_suspected_materials (::1) 37.18ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 936.55ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 1166.32ms
INFO:tornado.access:200 POST /get_current_periods (::1) 13.08ms
INFO:tornado.access:200 POST /get_instituicao (::1) 24.40ms
INFO:tornado.access:200 POST /get_instituicao (::1) 30.32ms
INFO:tornado.access:304 GET /get_suspected_materials (::1) 36.74ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 799.78ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 1010.56ms
INFO:tornado.access:200 POST /get_current_periods (::1) 8.02ms
INFO:tornado.access:200 POST /get_instituicao (::1) 32.31ms
INFO:tornado.access:200 POST /get_instituicao (::1) 31.34ms
INFO:tornado.access:304 GET /get_suspected_materials (::1) 26.54ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 216.92ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 396.19ms
INFO:tornado.access:200 POST /get_current_periods (::1) 24.16ms
INFO:tornado.access:200 POST /get_instituicao (::1) 40.43ms
INFO:tornado.access:200 POST /get_instituicao (::1) 31.45ms
INFO:tornado.access:304 GET /get_suspected_materials (::1) 21.99ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 288.37ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 450.72ms
INFO:tornado.access:200 POST /get_current_periods (::1) 16.26ms
INFO:tornado.access:200 POST /get_instituicao (::1) 18.24ms
INFO:tornado.access:200 POST /get_instituicao (::1) 35.74ms
INFO:tornado.access:304 GET /get_suspected_materials (::1) 27.05ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 376.97ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 815.87ms
INFO:tornado.access:200 POST /get_current_periods (::1) 17.10ms
INFO:tornado.access:200 POST /get_instituicao (::1) 29.34ms
INFO:tornado.access:304 GET /get_suspected_materials (::1) 20.46ms
INFO:tornado.access:200 POST /get_instituicao (::1) 32.07ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 421.63ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 505.92ms
INFO:tornado.access:204 OPTIONS /get_current_periods (::1) 1.31ms
INFO:tornado.access:204 OPTIONS /get_instituicao (::1) 1.00ms
INFO:tornado.access:204 OPTIONS /get_winner_companies (::1) 1.09ms
INFO:tornado.access:204 OPTIONS /get_instituicao (::1) 1.04ms
INFO:tornado.access:204 OPTIONS /get_winner_companies (::1) 9.61ms
INFO:tornado.access:200 POST /get_current_periods (::1) 25.62ms
INFO:tornado.access:304 GET /get_suspected_materials (::1) 44.48ms
INFO:tornado.access:200 POST /get_instituicao (::1) 38.92ms
INFO:tornado.access:200 POST /get_instituicao (::1) 23.97ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 501.87ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 980.34ms
INFO:tornado.access:200 POST /get_current_periods (::1) 20.36ms
INFO:tornado.access:200 POST /get_instituicao (::1) 27.15ms
INFO:tornado.access:200 POST /get_instituicao (::1) 25.41ms
INFO:tornado.access:304 GET /get_suspected_materials (::1) 23.72ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 408.00ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 594.27ms
INFO:tornado.access:200 POST /get_current_periods (::1) 26.71ms
INFO:tornado.access:200 POST /get_instituicao (::1) 49.78ms
INFO:tornado.access:200 POST /get_instituicao (::1) 47.08ms
INFO:tornado.access:304 GET /get_suspected_materials (::1) 46.22ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 333.75ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 504.02ms
INFO:tornado.access:200 POST /get_current_periods (::1) 6.47ms
INFO:tornado.access:200 POST /get_instituicao (::1) 32.36ms
INFO:tornado.access:200 POST /get_instituicao (::1) 31.91ms
INFO:tornado.access:304 GET /get_suspected_materials (::1) 27.87ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 457.33ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 638.84ms
INFO:tornado.access:200 POST /get_current_periods (::1) 27.54ms
INFO:tornado.access:200 POST /get_instituicao (::1) 37.20ms
INFO:tornado.access:304 GET /get_suspected_materials (::1) 32.68ms
INFO:tornado.access:200 POST /get_instituicao (::1) 66.05ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 994.68ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 1242.80ms
INFO:tornado.access:200 POST /get_current_periods (::1) 8.90ms
INFO:tornado.access:200 POST /get_instituicao (::1) 15.25ms
INFO:tornado.access:200 POST /get_instituicao (::1) 22.05ms
INFO:tornado.access:304 GET /get_suspected_materials (::1) 37.80ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 818.64ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 1127.83ms
INFO:tornado.access:200 POST /get_current_periods (::1) 16.67ms
INFO:tornado.access:200 POST /get_instituicao (::1) 30.79ms
INFO:tornado.access:200 POST /get_instituicao (::1) 24.81ms
INFO:tornado.access:304 GET /get_suspected_materials (::1) 21.88ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 231.54ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 574.27ms
INFO:tornado.access:200 POST /get_current_periods (::1) 10.64ms
INFO:tornado.access:200 POST /get_instituicao (::1) 38.94ms
INFO:tornado.access:200 POST /get_instituicao (::1) 38.35ms
INFO:tornado.access:304 GET /get_suspected_materials (::1) 36.29ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 581.66ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 691.21ms
INFO:tornado.access:200 POST /get_current_periods (::1) 34.03ms
INFO:tornado.access:200 POST /get_instituicao (::1) 41.76ms
INFO:tornado.access:200 POST /get_instituicao (::1) 33.77ms
INFO:tornado.access:304 GET /get_suspected_materials (::1) 36.96ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 512.94ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 705.14ms
INFO:tornado.access:304 GET /get_instituicoes (::1) 3.29ms
INFO:tornado.access:200 POST /get_current_periods (::1) 19.32ms
INFO:tornado.access:200 POST /get_instituicao (::1) 32.13ms
INFO:tornado.access:200 POST /get_instituicao (::1) 21.61ms
INFO:tornado.access:304 GET /get_suspected_materials (::1) 19.83ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 452.04ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 779.60ms
INFO:tornado.access:204 OPTIONS /get_current_periods (::1) 1.81ms
INFO:tornado.access:204 OPTIONS /get_instituicao (::1) 0.74ms
INFO:tornado.access:204 OPTIONS /get_winner_companies (::1) 1.01ms
INFO:tornado.access:204 OPTIONS /get_instituicao (::1) 0.78ms
INFO:tornado.access:204 OPTIONS /get_winner_companies (::1) 0.68ms
INFO:tornado.access:304 GET /get_suspected_materials (::1) 4.64ms
INFO:tornado.access:200 POST /get_current_periods (::1) 8.96ms
INFO:tornado.access:200 POST /get_instituicao (::1) 19.83ms
INFO:tornado.access:200 POST /get_instituicao (::1) 18.92ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 143.84ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 320.00ms
INFO:tornado.access:304 GET /get_instituicoes (::1) 3.81ms
INFO:tornado.access:200 POST /get_current_periods (::1) 18.45ms
INFO:tornado.access:200 POST /get_instituicao (::1) 30.23ms
INFO:tornado.access:304 GET /get_suspected_materials (::1) 27.47ms
INFO:tornado.access:200 POST /get_instituicao (::1) 22.61ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 549.27ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 730.13ms
INFO:tornado.access:304 GET /get_instituicoes (::1) 2.90ms
INFO:tornado.access:200 POST /get_current_periods (::1) 18.99ms
INFO:tornado.access:200 POST /get_instituicao (::1) 33.70ms
INFO:tornado.access:200 POST /get_instituicao (::1) 24.57ms
INFO:tornado.access:304 GET /get_suspected_materials (::1) 22.54ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 320.30ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 504.69ms
INFO:tornado.access:304 GET /get_instituicoes (::1) 3.65ms
INFO:tornado.access:200 POST /get_current_periods (::1) 20.41ms
INFO:tornado.access:200 POST /get_instituicao (::1) 31.95ms
INFO:tornado.access:200 POST /get_instituicao (::1) 27.78ms
INFO:tornado.access:304 GET /get_suspected_materials (::1) 19.46ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 212.02ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 692.35ms
INFO:tornado.access:204 OPTIONS /get_current_periods (::1) 1.11ms
INFO:tornado.access:204 OPTIONS /get_instituicao (::1) 1.02ms
INFO:tornado.access:204 OPTIONS /get_winner_companies (::1) 1.79ms
INFO:tornado.access:204 OPTIONS /get_winner_companies (::1) 8.32ms
INFO:tornado.access:204 OPTIONS /get_instituicao (::1) 3.69ms
INFO:tornado.access:304 GET /get_suspected_materials (::1) 50.05ms
INFO:tornado.access:200 POST /get_current_periods (::1) 39.94ms
INFO:tornado.access:200 POST /get_instituicao (::1) 32.87ms
INFO:tornado.access:200 POST /get_instituicao (::1) 27.65ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 635.89ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 857.47ms
INFO:tornado.access:200 POST /get_current_periods (::1) 26.66ms
INFO:tornado.access:200 POST /get_instituicao (::1) 26.92ms
INFO:tornado.access:200 POST /get_instituicao (::1) 27.50ms
INFO:tornado.access:304 GET /get_suspected_materials (::1) 23.42ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 135.16ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 719.19ms
INFO:tornado.access:200 POST /get_current_periods (::1) 12.93ms
INFO:tornado.access:200 POST /get_instituicao (::1) 32.40ms
INFO:tornado.access:304 GET /get_suspected_materials (::1) 27.21ms
INFO:tornado.access:200 POST /get_instituicao (::1) 24.67ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 294.43ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 469.92ms
INFO:tornado.access:200 POST /get_current_periods (::1) 11.41ms
INFO:tornado.access:200 POST /get_instituicao (::1) 82.49ms
INFO:tornado.access:200 POST /get_instituicao (::1) 79.02ms
INFO:tornado.access:304 GET /get_suspected_materials (::1) 49.01ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 517.11ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 726.74ms
INFO:tornado.access:200 POST /get_current_periods (::1) 12.84ms
INFO:tornado.access:200 POST /get_instituicao (::1) 30.59ms
INFO:tornado.access:200 POST /get_instituicao (::1) 27.01ms
INFO:tornado.access:304 GET /get_suspected_materials (::1) 20.70ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 498.58ms
INFO:tornado.access:200 POST /get_winner_companies (::1) 745.81ms
INFO:tornado.access:304 GET /get_instituicoes (::1) 3.39ms
INFO:tornado.access:304 GET /get_instituicoes (::1) 4.21ms
INFO:tornado.access:304 GET /get_instituicoes (::1) 3.29ms
